DATAFLOW,LAST UPDATE,freq,unit,med_spec,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:HLTH_RS_PHYSCAT(1.0),11/12/24 23:00:00,Annual,Number,Generalist medical practitioners,Belgium,2003,12394.00,
ESTAT:HLTH_RS_PHYSCAT(1.0),11/12/24 23:00:00,Annual,Number,Generalist medical practitioners,Belgium,2004,12412.00,
ESTAT:HLTH_RS_PHYSCAT(1.0),11/12/24 23:00:00,Annual,Number,Generalist medical practitioners,Belgium,2005,12405.00,
ESTAT:HLTH_RS_PHYSCAT(1.0),11/12/24 23:00:00,Annual,Number,Generalist medical practitioners,Belgium,2006,12415.00,
ESTAT:HLTH_RS_PHYSCAT(1.0),11/12/24 23:00:00,Annual,Number,Generalist medical practitioners,Belgium,2007,12336.00,
ESTAT:HLTH_RS_PHYSCAT(1.0),11/12/24 23:00:00,Annual,Number,Generalist medical practitioners,Belgium,2008,12273.00,
ESTAT:HLTH_RS_PHYSCAT(1.0),11/12/24 23:00:00,Annual,Number,Generalist medical practitioners,Belgium,2009,12286.00,
ESTAT:HLTH_RS_PHYSCAT(1.0),11/12/24 23:00:00,Annual,Number,Generalist medical practitioners,Belgium,2010,12228.00,
ESTAT:HLTH_RS_PHYSCAT(1.0),11/12/24 23:00:00,Annual,Number,Generalist medical practitioners,Belgium,2011,12290.00,
ESTAT:HLTH_RS_PHYSCAT(1.0),11/12/24 23:00:00,Annual,Number,Generalist medical practitioners,Belgium,2012,12363.00,
ESTAT:HLTH_RS_PHYSCAT(1.0),11/12/24 23:00:00,Annual,Number,Generalist medical practitioners,Belgium,2013,12483.00,
ESTAT:HLTH_RS_PHYSCAT(1.0),11/12/24 23:00:00,Annual,Number,Generalist medical practitioners,Belgium,2014,12560.00,
ESTAT:HLTH_RS_PHYSCAT(1.0),11/12/24 23:00:00,Annual,Number,Generalist medical practitioners,Belgium,2015,12693.00,
ESTAT:HLTH_RS_PHYSCAT(1.0),11/12/24 23:00:00,Annual,Number,Generalist medical practitioners,Belgium,2016,12929.00,
ESTAT:HLTH_RS_PHYSCAT(1.0),11/12/24 23:00:00,Annual,Number,Generalist medical practitioners,Belgium,2017,12992.00,
ESTAT:HLTH_RS_PHYSCAT(1.0),11/12/24 23:00:00,Annual,Number,Generalist medical practitioners,Belgium,2018,13178.00,
ESTAT:HLTH_RS_PHYSCAT(1.0),11/12/24 23:00:00,Annual,Number,Generalist medical practitioners,Belgium,2019,13425.00,
ESTAT:HLTH_RS_PHYSCAT(1.0),11/12/24 23:00:00,Annual,Number,Generalist medical practitioners,Belgium,2020,13697.00,
ESTAT:HLTH_RS_PHYSCAT(1.0),11/12/24 23:00:00,Annual,Number,Generalist medical practitioners,Belgium,2021,13952.00,
ESTAT:HLTH_RS_PHYSCAT(1.0),11/12/24 23:00:00,Annual,Number,Generalist medical practitioners,Belgium,2022,14041.00,
ESTAT:HLTH_RS_PHYSCAT(1.0),11/12/24 23:00:00,Annual,Number,Generalist medical practitioners,Bulgaria,2002,5760.00,
ESTAT:HLTH_RS_PHYSCAT(1.0),11/12/24 23:00:00,Annual,Number,Generalist medical practitioners,Bulgaria,2003,5561.00,
ESTAT:HLTH_RS_PHYSCAT(1.0),11/12/24 23:00:00,Annual,Number,Generalist medical practitioners,Bulgaria,2004,5685.00,
ESTAT:HLTH_RS_PHYSCAT(1.0),11/12/24 23:00:00,Annual,Number,Generalist medical practitioners,Bulgaria,2005,5631.00,
ESTAT:HLTH_RS_PHYSCAT(1.0),11/12/24 23:00:00,Annual,Number,Generalist medical practitioners,Bulgaria,2006,5521.00,
ESTAT:HLTH_RS_PHYSCAT(1.0),11/12/24 23:00:00,Annual,Number,Generalist medical practitioners,Bulgaria,2007,5426.00,
ESTAT:HLTH_RS_PHYSCAT(1.0),11/12/24 23:00:00,Annual,Number,Generalist medical practitioners,Bulgaria,2008,5043.00,
ESTAT:HLTH_RS_PHYSCAT(1.0),11/12/24 23:00:00,Annual,Number,Generalist medical practitioners,Bulgaria,2009,5198.00,
ESTAT:HLTH_RS_PHYSCAT(1.0),11/12/24 23:00:00,Annual,Number,Generalist medical practitioners,Bulgaria,2010,4961,b
ESTAT:HLTH_RS_PHYSCAT(1.0),11/12/24 23:00:00,Annual,Number,Generalist medical practitioners,Bulgaria,2011,4905.00,
ESTAT:HLTH_RS_PHYSCAT(1.0),11/12/24 23:00:00,Annual,Number,Generalist medical practitioners,Bulgaria,2012,4789.00,
ESTAT:HLTH_RS_PHYSCAT(1.0),11/12/24 23:00:00,Annual,Number,Generalist medical practitioners,Bulgaria,2013,4743.00,
ESTAT:HLTH_RS_PHYSCAT(1.0),11/12/24 23:00:00,Annual,Number,Generalist medical practitioners,Bulgaria,2014,4703.00,
ESTAT:HLTH_RS_PHYSCAT(1.0),11/12/24 23:00:00,Annual,Number,Generalist medical practitioners,Bulgaria,2015,4512.00,
ESTAT:HLTH_RS_PHYSCAT(1.0),11/12/24 23:00:00,Annual,Number,Generalist medical practitioners,Bulgaria,2016,4610.00,
ESTAT:HLTH_RS_PHYSCAT(1.0),11/12/24 23:00:00,Annual,Number,Generalist medical practitioners,Bulgaria,2017,4396.00,
ESTAT:HLTH_RS_PHYSCAT(1.0),11/12/24 23:00:00,Annual,Number,Generalist medical practitioners,Bulgaria,2018,4322.00,
ESTAT:HLTH_RS_PHYSCAT(1.0),11/12/24 23:00:00,Annual,Number,Generalist medical practitioners,Bulgaria,2019,4255.00,
ESTAT:HLTH_RS_PHYSCAT(1.0),11/12/24 23:00:00,Annual,Number,Generalist medical practitioners,Bulgaria,2020,4174.00,
ESTAT:HLTH_RS_PHYSCAT(1.0),11/12/24 23:00:00,Annual,Number,Generalist medical practitioners,Bulgaria,2021,4104.00,
ESTAT:HLTH_RS_PHYSCAT(1.0),11/12/24 23:00:00,Annual,Number,Generalist medical practitioners,Bulgaria,2022,3973.00,
ESTAT:HLTH_RS_PHYSCAT(1.0),11/12/24 23:00:00,Annual,Number,Generalist medical practitioners,Switzerland,1985,1887.00,
ESTAT:HLTH_RS_PHYSCAT(1.0),11/12/24 23:00:00,Annual,Number,Generalist medical practitioners,Switzerland,1986,1996.00,
ESTAT:HLTH_RS_PHYSCAT(1.0),11/12/24 23:00:00,Annual,Number,Generalist medical practitioners,Switzerland,1987,2090.00,
ESTAT:HLTH_RS_PHYSCAT(1.0),11/12/24 23:00:00,Annual,Number,Generalist medical practitioners,Switzerland,1988,2163.00,
ESTAT:HLTH_RS_PHYSCAT(1.0),11/12/24 23:00:00,Annual,Number,Generalist medical practitioners,Switzerland,1989,2393.00,
ESTAT:HLTH_RS_PHYSCAT(1.0),11/12/24 23:00:00,Annual,Number,Generalist medical practitioners,Switzerland,1990,2438.00,
ESTAT:HLTH_RS_PHYSCAT(1.0),11/12/24 23:00:00,Annual,Number,Generalist medical practitioners,Switzerland,1991,2490.00,
ESTAT:HLTH_RS_PHYSCAT(1.0),11/12/24 23:00:00,Annual,Number,Generalist medical practitioners,Switzerland,1992,2538.00,
ESTAT:HLTH_RS_PHYSCAT(1.0),11/12/24 23:00:00,Annual,Number,Generalist medical practitioners,Switzerland,1993,2572.00,
ESTAT:HLTH_RS_PHYSCAT(1.0),11/12/24 23:00:00,Annual,Number,Generalist medical practitioners,Switzerland,1994,2583.00,
ESTAT:HLTH_RS_PHYSCAT(1.0),11/12/24 23:00:00,Annual,Number,Generalist medical practitioners,Switzerland,1995,2595.00,
ESTAT:HLTH_RS_PHYSCAT(1.0),11/12/24 23:00:00,Annual,Number,Generalist medical practitioners,Switzerland,1996,2626.00,
ESTAT:HLTH_RS_PHYSCAT(1.0),11/12/24 23:00:00,Annual,Number,Generalist medical practitioners,Switzerland,1997,2669.00,
ESTAT:HLTH_RS_PHYSCAT(1.0),11/12/24 23:00:00,Annual,Number,Generalist medical practitioners,Switzerland,1998,2698.00,
ESTAT:HLTH_RS_PHYSCAT(1.0),11/12/24 23:00:00,Annual,Number,Generalist medical practitioners,Switzerland,1999,2740.00,
ESTAT:HLTH_RS_PHYSCAT(1.0),11/12/24 23:00:00,Annual,Number,Generalist medical practitioners,Switzerland,2000,2812.00,
ESTAT:HLTH_RS_PHYSCAT(1.0),11/12/24 23:00:00,Annual,Number,Generalist medical practitioners,Switzerland,2001,2863.00,
ESTAT:HLTH_RS_PHYSCAT(1.0),11/12/24 23:00:00,Annual,Number,Generalist medical practitioners,Switzerland,2002,3262.00,
ESTAT:HLTH_RS_PHYSCAT(1.0),11/12/24 23:00:00,Annual,Number,Generalist medical practitioners,Switzerland,2003,3745.00,
ESTAT:HLTH_RS_PHYSCAT(1.0),11/12/24 23:00:00,Annual,Number,Generalist medical practitioners,Switzerland,2004,3884.00,
ESTAT:HLTH_RS_PHYSCAT(1.0),11/12/24 23:00:00,Annual,Number,Generalist medical practitioners,Switzerland,2005,3842.00,
ESTAT:HLTH_RS_PHYSCAT(1.0),11/12/24 23:00:00,Annual,Number,Generalist medical practitioners,Switzerland,2006,3920.00,
ESTAT:HLTH_RS_PHYSCAT(1.0),11/12/24 23:00:00,Annual,Number,Generalist medical practitioners,Switzerland,2007,4005.00,
ESTAT:HLTH_RS_PHYSCAT(1.0),11/12/24 23:00:00,Annual,Number,Generalist medical practitioners,Switzerland,2008,4581,b
ESTAT:HLTH_RS_PHYSCAT(1.0),11/12/24 23:00:00,Annual,Number,Generalist medical practitioners,Switzerland,2009,4683.00,
ESTAT:HLTH_RS_PHYSCAT(1.0),11/12/24 23:00:00,Annual,Number,Generalist medical practitioners,Switzerland,2010,4748.00,
ESTAT:HLTH_RS_PHYSCAT(1.0),11/12/24 23:00:00,Annual,Number,Generalist medical practitioners,Switzerland,2011,8356,b
ESTAT:HLTH_RS_PHYSCAT(1.0),11/12/24 23:00:00,Annual,Number,Generalist medical practitioners,Switzerland,2012,8618.00,
ESTAT:HLTH_RS_PHYSCAT(1.0),11/12/24 23:00:00,Annual,Number,Generalist medical practitioners,Switzerland,2013,8986.00,
ESTAT:HLTH_RS_PHYSCAT(1.0),11/12/24 23:00:00,Annual,Number,Generalist medical practitioners,Switzerland,2014,9225.00,
ESTAT:HLTH_RS_PHYSCAT(1.0),11/12/24 23:00:00,Annual,Number,Generalist medical practitioners,Switzerland,2015,9570.00,
ESTAT:HLTH_RS_PHYSCAT(1.0),11/12/24 23:00:00,Annual,Number,Generalist medical practitioners,Switzerland,2016,9601.00,
ESTAT:HLTH_RS_PHYSCAT(1.0),11/12/24 23:00:00,Annual,Number,Generalist medical practitioners,Switzerland,2017,9628.00,
ESTAT:HLTH_RS_PHYSCAT(1.0),11/12/24 23:00:00,Annual,Number,Generalist medical practitioners,Switzerland,2018,9683.00,
ESTAT:HLTH_RS_PHYSCAT(1.0),11/12/24 23:00:00,Annual,Number,Generalist medical practitioners,Switzerland,2019,9724.00,
ESTAT:HLTH_RS_PHYSCAT(1.0),11/12/24 23:00:00,Annual,Number,Generalist medical practitioners,Switzerland,2020,9848.00,
ESTAT:HLTH_RS_PHYSCAT(1.0),11/12/24 23:00:00,Annual,Number,Generalist medical practitioners,Switzerland,2021,9964.00,
ESTAT:HLTH_RS_PHYSCAT(1.0),11/12/24 23:00:00,Annual,Number,Generalist medical practitioners,Switzerland,2022,10094.00,
ESTAT:HLTH_RS_PHYSCAT(1.0),11/12/24 23:00:00,Annual,Number,Generalist medical practitioners,Cyprus,1985,0.00,
ESTAT:HLTH_RS_PHYSCAT(1.0),11/12/24 23:00:00,Annual,Number,Generalist medical practitioners,Cyprus,1986,138.00,
ESTAT:HLTH_RS_PHYSCAT(1.0),11/12/24 23:00:00,Annual,Number,Generalist medical practitioners,Cyprus,1987,0.00,
ESTAT:HLTH_RS_PHYSCAT(1.0),11/12/24 23:00:00,Annual,Number,Generalist medical practitioners,Cyprus,1988,0.00,
ESTAT:HLTH_RS_PHYSCAT(1.0),11/12/24 23:00:00,Annual,Number,Generalist medical practitioners,Cyprus,1989,188.00,
ESTAT:HLTH_RS_PHYSCAT(1.0),11/12/24 23:00:00,Annual,Number,Generalist medical practitioners,Cyprus,1990,191.00,
ESTAT:HLTH_RS_PHYSCAT(1.0),11/12/24 23:00:00,Annual,Number,Generalist medical practitioners,Cyprus,1991,205.00,
ESTAT:HLTH_RS_PHYSCAT(1.0),11/12/24 23:00:00,Annual,Number,Generalist medical practitioners,Cyprus,1992,223.00,
ESTAT:HLTH_RS_PHYSCAT(1.0),11/12/24 23:00:00,Annual,Number,Generalist medical practitioners,Cyprus,1993,229.00,
ESTAT:HLTH_RS_PHYSCAT(1.0),11/12/24 23:00:00,Annual,Number,Generalist medical practitioners,Cyprus,1995,338.00,
ESTAT:HLTH_RS_PHYSCAT(1.0),11/12/24 23:00:00,Annual,Number,Generalist medical practitioners,Cyprus,2000,288.00,
ESTAT:HLTH_RS_PHYSCAT(1.0),11/12/24 23:00:00,Annual,Number,Generalist medical practitioners,Cyprus,2014,680.00,
ESTAT:HLTH_RS_PHYSCAT(1.0),11/12/24 23:00:00,Annual,Number,Generalist medical practitioners,Cyprus,2015,735.00,
ESTAT:HLTH_RS_PHYSCAT(1.0),11/12/24 23:00:00,Annual,Number,Generalist medical practitioners,Cyprus,2016,786.00,
ESTAT:HLTH_RS_PHYSCAT(1.0),11/12/24 23:00:00,Annual,Number,Generalist medical practitioners,Cyprus,2017,833.00,
ESTAT:HLTH_RS_PHYSCAT(1.0),11/12/24 23:00:00,Annual,Number,Generalist medical practitioners,Cyprus,2018,912.00,
ESTAT:HLTH_RS_PHYSCAT(1.0),11/12/24 23:00:00,Annual,Number,Generalist medical practitioners,Cyprus,2019,842.00,
ESTAT:HLTH_RS_PHYSCAT(1.0),11/12/24 23:00:00,Annual,Number,Generalist medical practitioners,Cyprus,2020,1018.00,
ESTAT:HLTH_RS_PHYSCAT(1.0),11/12/24 23:00:00,Annual,Number,Generalist medical practitioners,Cyprus,2021,1085.00,
ESTAT:HLTH_RS_PHYSCAT(1.0),11/12/24 23:00:00,Annual,Number,Generalist medical practitioners,Cyprus,2022,1257.00,
ESTAT:HLTH_RS_PHYSCAT(1.0),11/12/24 23:00:00,Annual,Number,Generalist medical practitioners,Czechia,1995,7175,e
ESTAT:HLTH_RS_PHYSCAT(1.0),11/12/24 23:00:00,Annual,Number,Generalist medical practitioners,Czechia,2000,7465,e
ESTAT:HLTH_RS_PHYSCAT(1.0),11/12/24 23:00:00,Annual,Number,Generalist medical practitioners,Czechia,2005,7423,b
ESTAT:HLTH_RS_PHYSCAT(1.0),11/12/24 23:00:00,Annual,Number,Generalist medical practitioners,Czechia,2006,7404.00,
ESTAT:HLTH_RS_PHYSCAT(1.0),11/12/24 23:00:00,Annual,Number,Generalist medical practitioners,Czechia,2007,7320.00,
ESTAT:HLTH_RS_PHYSCAT(1.0),11/12/24 23:00:00,Annual,Number,Generalist medical practitioners,Czechia,2008,7332.00,
ESTAT:HLTH_RS_PHYSCAT(1.0),11/12/24 23:00:00,Annual,Number,Generalist medical practitioners,Czechia,2009,7366.00,
ESTAT:HLTH_RS_PHYSCAT(1.0),11/12/24 23:00:00,Annual,Number,Generalist medical practitioners,Czechia,2010,7369.00,
ESTAT:HLTH_RS_PHYSCAT(1.0),11/12/24 23:00:00,Annual,Number,Generalist medical practitioners,Czechia,2011,7369.00,
ESTAT:HLTH_RS_PHYSCAT(1.0),11/12/24 23:00:00,Annual,Number,Generalist medical practitioners,Czechia,2012,7386.00,
ESTAT:HLTH_RS_PHYSCAT(1.0),11/12/24 23:00:00,Annual,Number,Generalist medical practitioners,Czechia,2013,7371.00,
ESTAT:HLTH_RS_PHYSCAT(1.0),11/12/24 23:00:00,Annual,Number,Generalist medical practitioners,Czechia,2019,7330,be
ESTAT:HLTH_RS_PHYSCAT(1.0),11/12/24 23:00:00,Annual,Number,Generalist medical practitioners,Czechia,2020,7112,e
ESTAT:HLTH_RS_PHYSCAT(1.0),11/12/24 23:00:00,Annual,Number,Generalist medical practitioners,Czechia,2021,7545,e
ESTAT:HLTH_RS_PHYSCAT(1.0),11/12/24 23:00:00,Annual,Number,Generalist medical practitioners,Czechia,2022,8428,be
ESTAT:HLTH_RS_PHYSCAT(1.0),11/12/24 23:00:00,Annual,Number,Generalist medical practitioners,Germany,1991,58515.00,
ESTAT:HLTH_RS_PHYSCAT(1.0),11/12/24 23:00:00,Annual,Number,Generalist medical practitioners,Germany,1992,60489.00,
ESTAT:HLTH_RS_PHYSCAT(1.0),11/12/24 23:00:00,Annual,Number,Generalist medical practitioners,Germany,1993,62805.00,
ESTAT:HLTH_RS_PHYSCAT(1.0),11/12/24 23:00:00,Annual,Number,Generalist medical practitioners,Germany,1994,64609.00,
ESTAT:HLTH_RS_PHYSCAT(1.0),11/12/24 23:00:00,Annual,Number,Generalist medical practitioners,Germany,1995,66217.00,
ESTAT:HLTH_RS_PHYSCAT(1.0),11/12/24 23:00:00,Annual,Number,Generalist medical practitioners,Germany,1996,67415.00,
ESTAT:HLTH_RS_PHYSCAT(1.0),11/12/24 23:00:00,Annual,Number,Generalist medical practitioners,Germany,1997,67861.00,
ESTAT:HLTH_RS_PHYSCAT(1.0),11/12/24 23:00:00,Annual,Number,Generalist medical practitioners,Germany,1998,68866.00,
ESTAT:HLTH_RS_PHYSCAT(1.0),11/12/24 23:00:00,Annual,Number,Generalist medical practitioners,Germany,1999,70243.00,
ESTAT:HLTH_RS_PHYSCAT(1.0),11/12/24 23:00:00,Annual,Number,Generalist medical practitioners,Germany,2000,72913.00,
ESTAT:HLTH_RS_PHYSCAT(1.0),11/12/24 23:00:00,Annual,Number,Generalist medical practitioners,Germany,2001,73605.00,
ESTAT:HLTH_RS_PHYSCAT(1.0),11/12/24 23:00:00,Annual,Number,Generalist medical practitioners,Germany,2002,73158.00,
ESTAT:HLTH_RS_PHYSCAT(1.0),11/12/24 23:00:00,Annual,Number,Generalist medical practitioners,Germany,2003,72686.00,
ESTAT:HLTH_RS_PHYSCAT(1.0),11/12/24 23:00:00,Annual,Number,Generalist medical practitioners,Germany,2004,70116.00,
ESTAT:HLTH_RS_PHYSCAT(1.0),11/12/24 23:00:00,Annual,Number,Generalist medical practitioners,Germany,2005,70036.00,
ESTAT:HLTH_RS_PHYSCAT(1.0),11/12/24 23:00:00,Annual,Number,Generalist medical practitioners,Germany,2006,68521.00,
ESTAT:HLTH_RS_PHYSCAT(1.0),11/12/24 23:00:00,Annual,Number,Generalist medical practitioners,Germany,2007,68026.00,
ESTAT:HLTH_RS_PHYSCAT(1.0),11/12/24 23:00:00,Annual,Number,Generalist medical practitioners,Germany,2008,69303.00,
ESTAT:HLTH_RS_PHYSCAT(1.0),11/12/24 23:00:00,Annual,Number,Generalist medical practitioners,Germany,2009,71218.00,
ESTAT:HLTH_RS_PHYSCAT(1.0),11/12/24 23:00:00,Annual,Number,Generalist medical practitioners,Germany,2010,74113.00,
ESTAT:HLTH_RS_PHYSCAT(1.0),11/12/24 23:00:00,Annual,Number,Generalist medical practitioners,Germany,2011,75252.00,
ESTAT:HLTH_RS_PHYSCAT(1.0),11/12/24 23:00:00,Annual,Number,Generalist medical practitioners,Germany,2012,75390.00,
ESTAT:HLTH_RS_PHYSCAT(1.0),11/12/24 23:00:00,Annual,Number,Generalist medical practitioners,Germany,2013,78608.00,
ESTAT:HLTH_RS_PHYSCAT(1.0),11/12/24 23:00:00,Annual,Number,Generalist medical practitioners,Germany,2014,80210.00,
ESTAT:HLTH_RS_PHYSCAT(1.0),11/12/24 23:00:00,Annual,Number,Generalist medical practitioners,Germany,2015,78201.00,
ESTAT:HLTH_RS_PHYSCAT(1.0),11/12/24 23:00:00,Annual,Number,Generalist medical practitioners,Germany,2016,79004.00,
ESTAT:HLTH_RS_PHYSCAT(1.0),11/12/24 23:00:00,Annual,Number,Generalist medical practitioners,Germany,2017,80047.00,
ESTAT:HLTH_RS_PHYSCAT(1.0),11/12/24 23:00:00,Annual,Number,Generalist medical practitioners,Germany,2018,80946.00,
ESTAT:HLTH_RS_PHYSCAT(1.0),11/12/24 23:00:00,Annual,Number,Generalist medical practitioners,Germany,2019,82979.00,
ESTAT:HLTH_RS_PHYSCAT(1.0),11/12/24 23:00:00,Annual,Number,Generalist medical practitioners,Germany,2020,85239.00,
ESTAT:HLTH_RS_PHYSCAT(1.0),11/12/24 23:00:00,Annual,Number,Generalist medical practitioners,Germany,2021,86641.00,
ESTAT:HLTH_RS_PHYSCAT(1.0),11/12/24 23:00:00,Annual,Number,Generalist medical practitioners,Germany,2022,88286.00,
ESTAT:HLTH_RS_PHYSCAT(1.0),11/12/24 23:00:00,Annual,Number,Generalist medical practitioners,Denmark,1994,2509.00,
ESTAT:HLTH_RS_PHYSCAT(1.0),11/12/24 23:00:00,Annual,Number,Generalist medical practitioners,Denmark,1995,2746.00,
ESTAT:HLTH_RS_PHYSCAT(1.0),11/12/24 23:00:00,Annual,Number,Generalist medical practitioners,Denmark,1996,2857.00,
ESTAT:HLTH_RS_PHYSCAT(1.0),11/12/24 23:00:00,Annual,Number,Generalist medical practitioners,Denmark,1997,3211.00,
ESTAT:HLTH_RS_PHYSCAT(1.0),11/12/24 23:00:00,Annual,Number,Generalist medical practitioners,Denmark,1998,3421.00,
ESTAT:HLTH_RS_PHYSCAT(1.0),11/12/24 23:00:00,Annual,Number,Generalist medical practitioners,Denmark,1999,3503.00,
ESTAT:HLTH_RS_PHYSCAT(1.0),11/12/24 23:00:00,Annual,Number,Generalist medical practitioners,Denmark,2000,3944.00,
ESTAT:HLTH_RS_PHYSCAT(1.0),11/12/24 23:00:00,Annual,Number,Generalist medical practitioners,Denmark,2001,3970.00,
ESTAT:HLTH_RS_PHYSCAT(1.0),11/12/24 23:00:00,Annual,Number,Generalist medical practitioners,Denmark,2002,3984.00,
ESTAT:HLTH_RS_PHYSCAT(1.0),11/12/24 23:00:00,Annual,Number,Generalist medical practitioners,Denmark,2003,3972.00,
ESTAT:HLTH_RS_PHYSCAT(1.0),11/12/24 23:00:00,Annual,Number,Generalist medical practitioners,Denmark,2004,4194.00,
ESTAT:HLTH_RS_PHYSCAT(1.0),11/12/24 23:00:00,Annual,Number,Generalist medical practitioners,Denmark,2005,4168.00,
